,len1,len2,rank,count
0,5,3,0,0.0
1,5,3,1,301
2,5,3,2,415
3,5,3,3,492
4,5,3,4,568
5,5,3,5,623
6,5,3,6,658
7,5,3,7,694
8,5,3,8,721
9,5,3,9,742
10,5,3,10,766
11,5,3,11,787
12,5,3,12,804
13,5,3,13,821
14,5,3,14,827
15,5,3,15,834
16,5,3,16,839
17,5,3,17,848
18,5,3,18,853
19,5,3,19,858
20,5,3,20,862
21,5,3,21,871
22,5,3,22,879
23,5,3,23,882
24,5,3,24,886
25,5,3,25,891
26,5,3,26,895
27,5,3,27,896
28,5,3,28,902
29,5,3,29,907
30,5,3,30,910
31,5,3,31,915
32,5,3,32,922
33,5,3,33,925
34,5,3,34,926
35,5,3,35,929
36,5,3,36,933
37,5,3,37,935
38,5,3,38,939
39,5,3,39,942
40,5,3,40,944
41,5,3,41,945
42,5,3,42,946
43,5,3,43,947
44,5,3,44,947
45,5,3,45,947
46,5,3,46,950
47,5,3,47,951
48,5,3,48,954
49,5,3,49,954
50,5,3,50,955
51,5,3,51,957
52,5,3,52,957
53,5,3,53,958
54,5,3,54,959
55,5,3,55,959
56,5,3,56,962
57,5,3,57,962
58,5,3,58,964
59,5,3,59,964
60,5,3,60,964
61,5,3,61,965
62,5,3,62,967
63,5,3,63,969
64,5,3,64,969
65,5,3,65,970
66,5,3,66,970
67,5,3,67,971
68,5,3,68,971
69,5,3,69,973
70,5,3,70,973
71,5,3,71,973
72,5,3,72,973
73,5,3,73,973
74,5,3,74,975
75,5,3,75,976
76,5,3,76,977
77,5,3,77,978
78,5,3,78,978
79,5,3,79,978
80,5,3,80,978
81,5,3,81,978
82,5,3,82,979
83,5,3,83,980
84,5,3,84,981
85,5,3,85,982
86,5,3,86,982
87,5,3,87,982
88,5,3,88,982
89,5,3,89,983
90,5,3,90,983
91,5,3,91,984
92,5,3,92,984
93,5,3,93,984
94,5,3,94,984
95,5,3,95,984
96,5,3,96,985
97,5,3,97,985
98,5,3,98,986
99,5,3,99,986
100,5,3,100,987

