,len1,len2,rank,count
0,5,3,0,0.0
1,5,3,1,0
2,5,3,2,6
3,5,3,3,10
4,5,3,4,15
5,5,3,5,23
6,5,3,6,28
7,5,3,7,31
8,5,3,8,34
9,5,3,9,37
10,5,3,10,38
11,5,3,11,42
12,5,3,12,48
13,5,3,13,54
14,5,3,14,57
15,5,3,15,58
16,5,3,16,62
17,5,3,17,67
18,5,3,18,67
19,5,3,19,70
20,5,3,20,76
21,5,3,21,79
22,5,3,22,82
23,5,3,23,84
24,5,3,24,88
25,5,3,25,90
26,5,3,26,92
27,5,3,27,94
28,5,3,28,101
29,5,3,29,105
30,5,3,30,114
31,5,3,31,116
32,5,3,32,117
33,5,3,33,122
34,5,3,34,129
35,5,3,35,133
36,5,3,36,137
37,5,3,37,141
38,5,3,38,147
39,5,3,39,148
40,5,3,40,151
41,5,3,41,153
42,5,3,42,158
43,5,3,43,160
44,5,3,44,163
45,5,3,45,163
46,5,3,46,165
47,5,3,47,165
48,5,3,48,168
49,5,3,49,173
50,5,3,50,176
51,5,3,51,177
52,5,3,52,183
53,5,3,53,185
54,5,3,54,190
55,5,3,55,191
56,5,3,56,195
57,5,3,57,198
58,5,3,58,204
59,5,3,59,205
60,5,3,60,209
61,5,3,61,212
62,5,3,62,215
63,5,3,63,218
64,5,3,64,220
65,5,3,65,227
66,5,3,66,231
67,5,3,67,233
68,5,3,68,235
69,5,3,69,238
70,5,3,70,243
71,5,3,71,248
72,5,3,72,250
73,5,3,73,251
74,5,3,74,252
75,5,3,75,254
76,5,3,76,256
77,5,3,77,257
78,5,3,78,258
79,5,3,79,260
80,5,3,80,264
81,5,3,81,269
82,5,3,82,271
83,5,3,83,273
84,5,3,84,275
85,5,3,85,278
86,5,3,86,279
87,5,3,87,281
88,5,3,88,282
89,5,3,89,283
90,5,3,90,285
91,5,3,91,286
92,5,3,92,287
93,5,3,93,289
94,5,3,94,290
95,5,3,95,293
96,5,3,96,294
97,5,3,97,300
98,5,3,98,303
99,5,3,99,306
100,5,3,100,308

